Total Nacional;Comunidades y Ciudades Autónomas;Mes;Sexo;Total
Total Nacional;08 Castilla - La Mancha;Abril;Total;1.471
Total Nacional;08 Castilla - La Mancha;Abril;Hombres;769
Total Nacional;08 Castilla - La Mancha;Abril;Mujeres;702
Total Nacional;08 Castilla - La Mancha;Mayo;Total;1.555
Total Nacional;08 Castilla - La Mancha;Mayo;Hombres;834
Total Nacional;08 Castilla - La Mancha;Mayo;Mujeres;721
Total Nacional;08 Castilla - La Mancha;Junio;Total;1.498
Total Nacional;08 Castilla - La Mancha;Junio;Hombres;768
Total Nacional;08 Castilla - La Mancha;Junio;Mujeres;730
Total Nacional;08 Castilla - La Mancha;Julio;Total;1.701
Total Nacional;08 Castilla - La Mancha;Julio;Hombres;878
Total Nacional;08 Castilla - La Mancha;Julio;Mujeres;823
Total Nacional;08 Castilla - La Mancha;Agosto;Total;1.823
Total Nacional;08 Castilla - La Mancha;Agosto;Hombres;946
Total Nacional;08 Castilla - La Mancha;Agosto;Mujeres;877
Total Nacional;08 Castilla - La Mancha;Septiembre;Total;1.426
Total Nacional;08 Castilla - La Mancha;Septiembre;Hombres;731
Total Nacional;08 Castilla - La Mancha;Septiembre;Mujeres;695
Total Nacional;08 Castilla - La Mancha;Octubre;Total;1.545
Total Nacional;08 Castilla - La Mancha;Octubre;Hombres;819
Total Nacional;08 Castilla - La Mancha;Octubre;Mujeres;726
Total Nacional;08 Castilla - La Mancha;Noviembre;Total;1.655
Total Nacional;08 Castilla - La Mancha;Noviembre;Hombres;849
Total Nacional;08 Castilla - La Mancha;Noviembre;Mujeres;806
Total Nacional;08 Castilla - La Mancha;Diciembre;Total;1.789
Total Nacional;08 Castilla - La Mancha;Diciembre;Hombres;939
Total Nacional;08 Castilla - La Mancha;Diciembre;Mujeres;850
Total Nacional;09 Cataluña;Total;Total;69.366
Total Nacional;09 Cataluña;Total;Hombres;35.398
Total Nacional;09 Cataluña;Total;Mujeres;33.968
Total Nacional;09 Cataluña;Enero;Total;7.823
Total Nacional;09 Cataluña;Enero;Hombres;4.003
Total Nacional;09 Cataluña;Enero;Mujeres;3.820
Total Nacional;09 Cataluña;Febrero;Total;5.970
Total Nacional;09 Cataluña;Febrero;Hombres;3.122
Total Nacional;09 Cataluña;Febrero;Mujeres;2.848
Total Nacional;09 Cataluña;Marzo;Total;5.673
Total Nacional;09 Cataluña;Marzo;Hombres;2.980
Total Nacional;09 Cataluña;Marzo;Mujeres;2.693
Total Nacional;09 Cataluña;Abril;Total;5.459
Total Nacional;09 Cataluña;Abril;Hombres;2.812
Total Nacional;09 Cataluña;Abril;Mujeres;2.647
Total Nacional;09 Cataluña;Mayo;Total;5.297
Total Nacional;09 Cataluña;Mayo;Hombres;2.755
Total Nacional;09 Cataluña;Mayo;Mujeres;2.542
Total Nacional;09 Cataluña;Junio;Total;5.193
Total Nacional;09 Cataluña;Junio;Hombres;2.586
Total Nacional;09 Cataluña;Junio;Mujeres;2.607
Total Nacional;09 Cataluña;Julio;Total;5.586
Total Nacional;09 Cataluña;Julio;Hombres;2.842
Total Nacional;09 Cataluña;Julio;Mujeres;2.744
Total Nacional;09 Cataluña;Agosto;Total;5.758
Total Nacional;09 Cataluña;Agosto;Hombres;2.947
Total Nacional;09 Cataluña;Agosto;Mujeres;2.811
Total Nacional;09 Cataluña;Septiembre;Total;4.882
Total Nacional;09 Cataluña;Septiembre;Hombres;2.445
